trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
559,False,"{'a': 0.64406803068598339, 'e': 0.22092036202385312}",25,0,21.59874114241645,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
560,False,"{'a': 0.6435091868973748, 'e': 0.21812926439979297}",20,9,18.388151950198118,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.64294934366810952, 'e': 0.21533318074368601}",20,0,8.111659604665594,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
562,False,"{'a': 0.64238850099918721, 'e': 0.21253211108046233}",20,0,21.280826005719803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
563,False,"{'a': 0.64182665889160728, 'e': 0.20972605543505196}",25,15,3.907576489755611,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
564,False,"{'a': 0.64126381734636917, 'e': 0.20691501383238453}",20,0,1.4633204896382075,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
565,False,"{'a': 0.64069997636447251, 'e': 0.20409898629739009}",30,0,-7.365619950767796,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
566,False,"{'a': 0.64013513594691629, 'e': 0.20127797285499804}",20,12,11.849644232659351,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
567,False,"{'a': 0.63956929609470037, 'e': 0.19845197353013799}",20,0,6.5266314826037695,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
568,False,"{'a': 0.63900245680882395, 'e': 0.19562098834773911}",30,0,6.655179528371619,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
569,False,"{'a': 0.63843461809028668, 'e': 0.19278501733273079}",20,0,-30.295078395776958,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
570,False,"{'a': 0.63786577994008775, 'e': 0.18994406051004198}",25,0,-3.5680627597081545,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
571,False,"{'a': 0.6372959423592266, 'e': 0.18709811790460185}",20,0,-50.62670993323757,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
572,False,"{'a': 0.63672510534870286, 'e': 0.18424718954133912}",20,0,-46.55757101228437,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
573,False,"{'a': 0.63615326890951573, 'e': 0.18139127544518274}",20,0,8.02056464126143,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
574,False,"{'a': 0.63558043304266487, 'e': 0.178530375641061}",20,16,5.9965210028988025,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.63500659774914947, 'e': 0.17566449015390262}",25,13,18.806808452533808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.63443176302996918, 'e': 0.17279361900863566}",25,14,-7.661575235327129,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
577,False,"{'a': 0.63385592888612319, 'e': 0.16991776223018862}",20,0,-13.511695314499416,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
578,False,"{'a': 0.63327909531861115, 'e': 0.16703691984348934}",25,8,25.296840661626298,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
579,False,"{'a': 0.63270126232843227, 'e': 0.1641510918734661}",20,0,5.802668281946344,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
580,False,"{'a': 0.63212242991658618, 'e': 0.16126027834504653}",30,0,40.444354873374735,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
